machine_id,timestamp,vibration,sound,temperature,state,health_score,risk_level,trend,anomaly,probable_fault,recommendation
M001,"2026-08-17 11:21:47",0.311,235.013,28.000,NORMAL,100.00,LOW,STABLE,0,NONE,"Continue normal monitoring."
M001,"2026-08-17 11:21:49",0.106,259.395,28.000,NORMAL,100.00,LOW,STABLE,0,NONE,"Continue normal monitoring."
M001,"2026-08-17 11:21:51",0.307,251.727,28.000,NORMAL,100.00,LOW,STABLE,0,NONE,"Continue normal monitoring."
M001,"2026-08-17 11:21:53",0.194,224.170,28.000,NORMAL,100.00,LOW,STABLE,0,NONE,"Continue normal monitoring."
M001,"2026-08-17 11:21:55",0.181,251.179,28.000,NORMAL,100.00,LOW,STABLE,0,NONE,"Continue normal monitoring."
M001,"2026-08-17 11:21:58",0.085,235.470,28.000,NORMAL,100.00,LOW,STABLE,0,NONE,"Continue normal monitoring."
M001,"2026-08-17 11:22:00",0.346,232.050,28.000,NORMAL,100.00,LOW,STABLE,0,NONE,"Continue normal monitoring."
M001,"2026-08-17 11:22:02",0.079,233.385,28.000,NORMAL,100.00,LOW,STABLE,0,NONE,"Continue normal monitoring."
M001,"2026-08-17 11:22:04",0.087,271.164,28.000,NORMAL,100.00,LOW,STABLE,0,NONE,"Continue normal monitoring."
M001,"2026-08-17 11:22:06",0.301,250.995,28.000,NORMAL,100.00,LOW,STABLE,0,NONE,"Continue normal monitoring."
M001,"2026-08-17 11:22:08",0.272,260.493,28.000,NORMAL,100.00,LOW,STABLE,0,NONE,"Continue normal monitoring."
M001,"2026-08-17 11:22:10",0.345,235.346,28.000,NORMAL,100.00,LOW,STABLE,0,NONE,"Continue normal monitoring."
M001,"2026-08-17 11:22:12",0.350,240.037,28.000,NORMAL,100.00,LOW,STABLE,0,NONE,"Continue normal monitoring."
M001,"2026-08-17 11:22:14",0.096,236.754,28.000,NORMAL,100.00,LOW,STABLE,0,NONE,"Continue normal monitoring."
M001,"2026-08-17 11:22:16",0.171,241.180,28.000,NORMAL,100.00,LOW,STABLE,0,NONE,"Continue normal monitoring."
M001,"2026-08-17 11:22:18",0.314,248.387,28.000,NORMAL,100.00,LOW,STABLE,0,NONE,"Continue normal monitoring."
M001,"2026-08-17 11:22:20",0.303,229.055,28.000,NORMAL,100.00,LOW,STABLE,0,NONE,"Continue normal monitoring."
M001,"2026-08-17 11:22:22",0.204,258.530,28.000,NORMAL,100.00,LOW,STABLE,0,NONE,"Continue normal monitoring."
M001,"2026-08-17 11:22:25",0.381,233.926,28.000,NORMAL,100.00,LOW,STABLE,0,NONE,"Continue normal monitoring."
M001,"2026-08-17 11:22:28",0.143,229.196,28.000,NORMAL,100.00,LOW,STABLE,0,NONE,"Continue normal monitoring."
M001,"2026-08-17 11:22:29",0.166,239.803,28.000,NORMAL,100.00,LOW,STABLE,0,NONE,"Continue normal monitoring."
M001,"2026-08-17 11:22:31",0.078,227.833,28.000,NORMAL,100.00,LOW,STABLE,0,NONE,"Continue normal monitoring."
M001,"2026-08-17 11:22:33",0.223,260.404,28.000,NORMAL,100.00,LOW,STABLE,0,NONE,"Continue normal monitoring."
M001,"2026-08-17 11:22:35",0.313,229.694,28.000,NORMAL,100.00,LOW,STABLE,0,NONE,"Continue normal monitoring."
M001,"2026-08-17 11:22:37",0.163,247.769,28.000,NORMAL,100.00,LOW,STABLE,0,NONE,"Continue normal monitoring."
M001,"2026-08-17 11:22:39",0.123,218.800,28.000,NORMAL,100.00,LOW,STABLE,0,NONE,"Continue normal monitoring."
M001,"2026-08-17 11:22:41",0.274,243.359,28.000,NORMAL,100.00,LOW,STABLE,0,NONE,"Continue normal monitoring."
M001,"2026-08-17 11:22:43",0.284,223.988,28.000,NORMAL,100.00,LOW,STABLE,0,NONE,"Continue normal monitoring."
M001,"2026-08-17 11:22:45",0.045,239.273,28.000,NORMAL,100.00,LOW,STABLE,0,NONE,"Continue normal monitoring."
M001,"2026-08-17 11:22:47",0.340,232.132,28.000,NORMAL,100.00,LOW,STABLE,0,NONE,"Continue normal monitoring."
M001,"2026-08-17 11:22:50",0.024,260.090,28.000,NORMAL,100.00,LOW,STABLE,0,NONE,"Continue normal monitoring."
M001,"2026-08-17 11:22:52",0.193,261.673,28.000,NORMAL,100.00,LOW,STABLE,0,NONE,"Continue normal monitoring."
M001,"2026-08-17 11:22:54",0.040,245.099,28.000,NORMAL,100.00,LOW,STABLE,0,NONE,"Continue normal monitoring."
M001,"2026-08-17 11:22:56",0.165,235.705,28.000,NORMAL,100.00,LOW,STABLE,0,NONE,"Continue normal monitoring."
M001,"2026-08-17 11:22:58",0.063,233.705,28.000,NORMAL,100.00,LOW,STABLE,0,NONE,"Continue normal monitoring."
M001,"2026-08-17 11:23:00",0.005,251.565,28.000,NORMAL,100.00,LOW,STABLE,0,NONE,"Continue normal monitoring."
M001,"2026-08-17 11:23:02",0.240,229.692,28.000,NORMAL,100.00,LOW,STABLE,0,NONE,"Continue normal monitoring."
M001,"2026-08-17 11:23:04",0.178,230.133,28.000,NORMAL,100.00,LOW,STABLE,0,NONE,"Continue normal monitoring."
M001,"2026-08-17 11:23:06",0.354,250.991,28.000,NORMAL,100.00,LOW,STABLE,0,NONE,"Continue normal monitoring."
M001,"2026-08-17 11:23:08",0.581,232.589,28.000,NORMAL,100.00,LOW,STABLE,0,NONE,"Continue normal monitoring."
M001,"2026-08-17 11:23:10",0.282,250.188,28.000,NORMAL,100.00,LOW,STABLE,0,NONE,"Continue normal monitoring."
M001,"2026-08-17 11:23:12",0.064,264.108,28.000,NORMAL,100.00,LOW,STABLE,0,NONE,"Continue normal monitoring."
M001,"2026-08-17 11:23:15",0.027,244.365,28.000,NORMAL,100.00,LOW,STABLE,0,NONE,"Continue normal monitoring."
M001,"2026-08-17 11:23:17",0.085,235.258,28.000,NORMAL,100.00,LOW,STABLE,0,NONE,"Continue normal monitoring."
M001,"2026-08-17 11:23:19",0.411,228.762,28.000,NORMAL,100.00,LOW,STABLE,0,NONE,"Continue normal monitoring."
M001,"2026-08-17 11:23:21",0.197,253.913,28.000,NORMAL,100.00,LOW,STABLE,0,NONE,"Continue normal monitoring."
